topology	observed	nuclear
((((bison,yak),buffalo),((cattle,indicus),wisent)),goat);	0	0.002155
((((((cattle,wisent),indicus),yak),bison),buffalo),goat);	0.00214456919389429	0
((((cattle,indicus),bison),((wisent,yak),buffalo)),goat);	0	0.002115
(((((cattle,indicus),wisent),buffalo),(bison,yak)),goat);	0	0.002095
(((((cattle,indicus),bison),buffalo),(wisent,yak)),goat);	0	0.00208
((((((bison,cattle),indicus),yak),wisent),buffalo),goat);	0.00201841806484168	0
((((((indicus,yak),cattle),wisent),bison),buffalo),goat);	0.00201841806484168	0
((((((bison,indicus),wisent),cattle),yak),buffalo),goat);	0.00195534250031538	0
((((((bison,indicus),wisent),yak),cattle),buffalo),goat);	0.00189226693578908	0
(((((bison,wisent),buffalo),yak),(cattle,indicus)),goat);	0.00189226693578908	0
((((buffalo,yak),(cattle,indicus)),(bison,wisent)),goat);	0.00182919137126277	0
(((((bison,wisent),indicus),buffalo),(cattle,yak)),goat);	0	0.00179
(((((bison,wisent),yak),indicus),(buffalo,cattle)),goat);	0	0.001785
((((((cattle,yak),indicus),wisent),bison),buffalo),goat);	0.00176611580673647	0
((((((bison,wisent),yak),indicus),buffalo),cattle),goat);	0	0.001705
((((bison,wisent),indicus),((cattle,yak),buffalo)),goat);	0	0.001705
(((((bison,wisent),yak),cattle),(buffalo,indicus)),goat);	0	0.00167
((((((bison,wisent),yak),cattle),buffalo),indicus),goat);	0	0.001655
((((((indicus,wisent),yak),cattle),bison),buffalo),goat);	0.00163996467768387	0
(((((bison,indicus),(cattle,yak)),wisent),buffalo),goat);	0.00163996467768387	0
((((((indicus,yak),cattle),bison),wisent),buffalo),goat);	0.00163996467768387	0
((((((bison,indicus),cattle),yak),wisent),buffalo),goat);	0.00163996467768387	0
((((((bison,cattle),wisent),yak),indicus),buffalo),goat);	0.00163996467768387	0
(((((bison,wisent),cattle),buffalo),(indicus,yak)),goat);	0	0.00159
((((((indicus,yak),bison),cattle),wisent),buffalo),goat);	0.00157688911315756	0
((((bison,yak),(cattle,indicus)),(buffalo,wisent)),goat);	0	0.00156
((((cattle,indicus),(wisent,yak)),(bison,buffalo)),goat);	0	0.00155
