no	type	tree	observed	simulate
62	1.none	(((((bison,cattle),(wisent,yak)),indicus),buffalo),goat);	0.00113536016147345	0.001835
63	1.none	(((((wisent,yak),cattle),(bison,indicus)),buffalo),goat);	0	0.00293
64	1.none	((((((indicus,wisent),bison),cattle),yak),buffalo),goat);	0.00290147596820992	0
65	1.none	((((((wisent,yak),indicus),bison),cattle),buffalo),goat);	0.00132458685505235	0.001375
66	1.none	((((((wisent,yak),cattle),indicus),bison),buffalo),goat);	0.00132458685505235	0.001265
67	1.none	((((((bison,indicus),cattle),wisent),yak),buffalo),goat);	0.0025860981455784	0
68	1.none	((((((cattle,yak),indicus),bison),wisent),buffalo),goat);	0.0023968714519995	0
69	1.none	((((((bison,cattle),wisent),indicus),yak),buffalo),goat);	0.00233379588747319	0
70	1.none	((((cattle,indicus),bison),((wisent,yak),buffalo)),goat);	0	0.002115
71	1.none	(((((cattle,indicus),bison),buffalo),(wisent,yak)),goat);	0	0.00208
72	1.none	((((((bison,cattle),indicus),yak),wisent),buffalo),goat);	0.00201841806484168	0
73	1.none	((((((indicus,yak),cattle),wisent),bison),buffalo),goat);	0.00201841806484168	0
74	1.none	((((((bison,indicus),wisent),cattle),yak),buffalo),goat);	0.00195534250031538	0
75	1.none	((((((bison,indicus),wisent),yak),cattle),buffalo),goat);	0.00189226693578908	0
76	1.none	((((((cattle,yak),indicus),wisent),bison),buffalo),goat);	0.00176611580673647	0
77	1.none	(((((bison,indicus),(cattle,yak)),wisent),buffalo),goat);	0.00163996467768387	0
78	1.none	((((((bison,indicus),cattle),yak),wisent),buffalo),goat);	0.00163996467768387	0
79	1.none	((((((indicus,wisent),yak),cattle),bison),buffalo),goat);	0.00163996467768387	0
80	1.none	((((((indicus,yak),cattle),bison),wisent),buffalo),goat);	0.00163996467768387	0
81	1.none	((((((bison,cattle),wisent),yak),indicus),buffalo),goat);	0.00163996467768387	0
82	1.none	((((((indicus,yak),bison),cattle),wisent),buffalo),goat);	0.00157688911315756	0
83	1.none	((((cattle,indicus),(wisent,yak)),(bison,buffalo)),goat);	0	0.00155
84	1.none	(((((cattle,indicus),(wisent,yak)),buffalo),bison),goat);	0	0.001535
85	1.none	(((((cattle,yak),(indicus,wisent)),bison),buffalo),goat);	0.00151381354863126	0
86	1.none	(((((cattle,wisent),(indicus,yak)),bison),buffalo),goat);	0.00145073798410496	0
87	1.none	((((((cattle,yak),wisent),indicus),bison),buffalo),goat);	0.00145073798410496	0
88	1.none	(((((bison,indicus),wisent),(cattle,yak)),buffalo),goat);	0.00138766241957866	0
89	1.none	((((((cattle,yak),wisent),bison),indicus),buffalo),goat);	0.00132458685505235	0
90	1.none	((((((wisent,yak),cattle),bison),indicus),buffalo),goat);	0	0.001285
91	1.none	((((((indicus,yak),wisent),cattle),bison),buffalo),goat);	0.00126151129052605	0
92	1.none	((((((indicus,wisent),yak),bison),cattle),buffalo),goat);	0.00126151129052605	0
93	1.none	((((((indicus,wisent),bison),yak),cattle),buffalo),goat);	0.00126151129052605	0
94	1.none	((((((bison,indicus),yak),cattle),wisent),buffalo),goat);	0.00119843572599975	0
95	1.none	((((((cattle,wisent),yak),bison),indicus),buffalo),goat);	0.00113536016147345	0
96	1.none	((((((indicus,yak),wisent),bison),cattle),buffalo),goat);	0.00100920903242084	0
97	2.mtLike	(((((cattle,indicus),wisent),(bison,yak)),buffalo),goat);	0.00662293427526176	0.025655
98	2.mtLike	(((((bison,yak),(cattle,indicus)),wisent),buffalo),goat);	0.00801059669484042	0.019575
99	2.mtLike	((((((cattle,indicus),wisent),bison),yak),buffalo),goat);	0.010848997098524	0.006065
100	2.mtLike	((((((cattle,indicus),wisent),yak),bison),buffalo),goat);	0.00580295193641983	0.00604
101	2.mtLike	(((((bison,yak),(indicus,wisent)),cattle),buffalo),goat);	0.00233379588747319	0.001735
102	2.mtLike	((((((cattle,wisent),indicus),bison),yak),buffalo),goat);	0.00397376056515706	0
103	2.mtLike	(((((indicus,wisent),cattle),(bison,yak)),buffalo),goat);	0.00170304024221017	0.00179
104	2.mtLike	(((((cattle,wisent),indicus),(bison,yak)),buffalo),goat);	0.00145073798410496	0.00204
105	2.mtLike	(((((bison,yak),(cattle,wisent)),indicus),buffalo),goat);	0.00151381354863126	0.00158
