topology	observed	nuclear	mt
(((((cattle,yak),wisent),indicus),bison),buffalo);	0.0030310684516292	0.0003	0.001635
((((cattle,yak),(indicus,wisent)),bison),buffalo);	0.00113665066936095	0.000635	0.003175
(((((bison,yak),cattle),wisent),indicus),buffalo);	0.000694619853498358	0.001455	0.00265
(((((cattle,yak),indicus),wisent),bison),buffalo);	0.00265218489517555	0.00024	0.00168
(((((wisent,yak),cattle),indicus),bison),buffalo);	0.00157868148522354	0.00144	0.00154
(((((cattle,wisent),bison),indicus),yak),buffalo);	0.00252589037635767	0.000405	0.001595
(((((bison,indicus),cattle),wisent),yak),buffalo);	0.00246274311694872	0.000245	0.001705
(((((cattle,wisent),indicus),yak),bison),buffalo);	0.00208385956049507	0.00032	0.001625
(((((bison,indicus),cattle),yak),wisent),buffalo);	0.00202071230108613	0.0003	0.00167
(((((indicus,yak),cattle),bison),wisent),buffalo);	0.00202071230108613	0.0003	0.00164
(((((bison,indicus),wisent),cattle),yak),buffalo);	0.00202071230108613	0.00031	0.001565
(((((wisent,yak),indicus),bison),cattle),buffalo);	0.00107350340995201	0.001455	0.001345
(((((cattle,wisent),bison),yak),indicus),buffalo);	0.00183127052285931	0.000265	0.001705
(((((wisent,yak),cattle),bison),indicus),buffalo);	0.000442030815862592	0.001725	0.00156
(((((indicus,yak),cattle),wisent),bison),buffalo);	0.00170497600404142	0.00026	0.00154
(((((bison,indicus),wisent),yak),cattle),buffalo);	0.00138923970699672	0.000275	0.001795
(((((bison,cattle),wisent),indicus),yak),buffalo);	0.00164182874463248	0.000315	0.00148
(((((cattle,yak),wisent),bison),indicus),buffalo);	0.00145238696640566	0.00035	0.0016
(((((bison,cattle),wisent),yak),indicus),buffalo);	0.00164182874463248	0.000235	0.001495
(((((cattle,wisent),yak),bison),indicus),buffalo);	0.00126294518817883	0.000285	0.001745
(((((bison,cattle),indicus),yak),wisent),buffalo);	0.00126294518817883	0.00031	0.00168
(((((bison,cattle),yak),indicus),wisent),buffalo);	0.00138923970699672	0.000305	0.00152
(((((indicus,yak),wisent),cattle),bison),buffalo);	0.00119979792876989	0.00036	0.001635
(((((indicus,wisent),bison),cattle),yak),buffalo);	0.00126294518817883	0.00035	0.00155
(((((indicus,wisent),bison),yak),cattle),buffalo);	0.00119979792876989	0.000315	0.0016
(((((indicus,wisent),cattle),yak),bison),buffalo);	0.00107350340995201	0.00026	0.001615
(((((cattle,yak),bison),wisent),indicus),buffalo);	0.00101035615054307	0.000315	0.001605
(((((indicus,yak),wisent),bison),cattle),buffalo);	0.00101035615054307	0.000285	0.00153
(((((cattle,wisent),yak),indicus),bison),buffalo);	0.0007577671129073	0.00035	0.001695
(((((cattle,yak),bison),indicus),wisent),buffalo);	0.000631472594089417	0.00039	0.00172
(((((indicus,yak),bison),wisent),cattle),buffalo);	0.000820914372316241	0.000305	0.001585
(((((bison,indicus),yak),cattle),wisent),buffalo);	0.000568325334680475	0.00041	0.00161
(((((indicus,yak),bison),cattle),wisent),buffalo);	0.000568325334680475	0.00033	0.001525
(((((indicus,wisent),yak),cattle),bison),buffalo);	0.000442030815862592	0.000395	0.001575
(((((bison,indicus),yak),wisent),cattle),buffalo);	0.00037888355645365	0.0004	0.00157
(((((indicus,wisent),yak),bison),cattle),buffalo);	0.000505178075271533	0.000315	0.001495
(((((bison,cattle),yak),wisent),indicus),buffalo);	0.000505178075271533	0.000295	0.00149
